TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
1.21502e+06 0 864 2714
1.26998e+06 0 892 3520
1.33165e+06 0 931 2825
1.52964e+06 0 1061 3505
1.30467e+06 0 901 3100
1.30077e+06 0 908 3782
1.35604e+06 0 958 3933
1.28913e+06 0 899 3466
1.41043e+06 0 988 3586
1.32992e+06 0 953 3898
1.85863e+06 0 1266 5887
1.44711e+06 0 985 4656
1.44639e+06 0 968 3314
1.37099e+06 0 949 3325
1.26548e+06 0 883 3151
1.19814e+06 0 867 3338
1.39409e+06 0 944 2986
1.44302e+06 0 973 3112
1.27994e+06 0 896 2636
1.33912e+06 0 964 3531
1.51227e+06 0 1006 4259
1.10048e+06 0 814 2881
1.22527e+06 0 880 3605
1.28394e+06 0 912 3508
1.34457e+06 0 948 3469
1.33594e+06 0 926 2955
1.36335e+06 0 948 3214
1.16427e+06 0 852 2997
1.35041e+06 0 953 3366
1.37935e+06 0 920 3184
1.25501e+06 0 887 3017
1.36002e+06 0 965 3296
1.3669e+06 0 956 3881
1.17751e+06 0 842 2703
1.50367e+06 0 1039 4287
1.49555e+06 0 1031 3354
1.42219e+06 0 1000 3188
1.23392e+06 0 882 3196
1.31571e+06 0 910 2716
1.46238e+06 0 1016 4040
1.66838e+06 0 1099 4246
1.42675e+06 0 997 4350
1.41768e+06 0 961 2992
1.36647e+06 0 950 4413
1.37064e+06 0 938 3190
1.25131e+06 0 857 2962
1.35104e+06 0 939 3644
1.41885e+06 0 963 3218
1.2365e+06 0 873 2797
1.351e+06 0 939 3276
1.22846e+06 0 879 2541
1.26186e+06 0 881 3474
1.36865e+06 0 972 3814
1.33242e+06 0 950 3263
1.57986e+06 0 1056 4348
1.23263e+06 0 875 2863
1.45318e+06 0 978 3292
1.47919e+06 0 1016 2999
1.45134e+06 0 969 3696
1.19938e+06 0 837 2782
1.49385e+06 0 1003 3394
1.55711e+06 0 1041 3241
1.35626e+06 0 939 3197
1.13958e+06 0 823 2662
1.23148e+06 0 864 3099
1.33078e+06 0 922 3953
1.30048e+06 0 926 3610
1.58677e+06 0 1086 3813
1.29627e+06 0 877 2608
1.36773e+06 0 953 2886
1.39483e+06 0 949 3141
1.42088e+06 0 975 3068
1.26468e+06 0 905 3326
1.40285e+06 0 958 3398
1.39696e+06 0 967 3452
1.22508e+06 0 852 4036
1.19781e+06 0 838 3190
1.37339e+06 0 951 3168
1.26623e+06 0 896 3441
1.53305e+06 0 1047 4345
1.35444e+06 0 914 2684
1.2301e+06 0 866 3010
1.47194e+06 0 1001 3717
1.22188e+06 0 889 3223
1.40117e+06 0 945 3614
1.29721e+06 0 920 3052
1.36044e+06 0 940 2748
1.62968e+06 0 1146 4612
1.44255e+06 0 970 3033
1.25708e+06 0 879 2950
1.245e+06 0 889 3086
1.10271e+06 0 811 2541
1.44581e+06 0 1001 3457
1.26304e+06 0 884 3023
1.26068e+06 0 880 3061
1.26165e+06 0 901 2926
1.43826e+06 0 979 2999
1.36127e+06 0 980 3629
1.9185e+06 0 1289 4137
1.26012e+06 0 864 2956
1.40958e+06 0 979 3479
1.23175e+06 0 888 2904
1.27948e+06 0 901 3154
1.4371e+06 0 1022 4614
1.64287e+06 0 1098 4424
1.27497e+06 0 869 2594
1.23151e+06 0 855 2718
1.75963e+06 0 1173 4545
1.14874e+06 0 837 2956
1.47451e+06 0 996 3944
1.50523e+06 0 1013 3972
1.49068e+06 0 1044 4020
1.5983e+06 0 1127 5466
1.45075e+06 0 995 3819
1.23081e+06 0 868 2571
1.24554e+06 0 887 3533
1.47445e+06 0 1024 3954
1.36254e+06 0 950 3876
1.33565e+06 0 932 3988
1.25263e+06 0 892 2880
1.35037e+06 0 948 3411
1.21192e+06 0 852 3114
1.69759e+06 0 1158 4725
1.24982e+06 0 871 3544
1.33283e+06 0 970 3382
1.2703e+06 0 912 3059
1.22474e+06 0 864 2929
1.57809e+06 0 1043 3373
1.44313e+06 0 984 3011
1.44894e+06 0 997 3266
1.22804e+06 0 875 2874
1.40613e+06 0 947 3843
1.26542e+06 0 907 3850
1.21753e+06 0 850 3294
1.32234e+06 0 908 2961
1.19538e+06 0 871 2793
1.45327e+06 0 1000 3058
1.26882e+06 0 873 3157
1.45319e+06 0 1009 3899
1.37783e+06 0 958 3214
1.2898e+06 0 916 2864
1.18786e+06 0 826 2524
1.42364e+06 0 979 4402
1.2833e+06 0 914 3042
1.26957e+06 0 890 3512
1.63726e+06 0 1122 4782
